age,amount,checking_balance,credit_history,default,dependents,employment_duration,existing_loans_count,gender,housing,job,months_loan_duration,other_credit,percent_of_income,phone,purpose,race,savings_balance,status,years_at_residence,zipcode
26.0,8845.0,< 0 USD,excellent,yes,2.0,unknown,3.0,M,own,management,33.0,bank,1.0,no,education,SA,500 - 1000 USD,divorced,1.0,00604
25.0,178.0,unknown,excellent,yes,3.0,unknown,0.0,M,other,none,52.0,stores,8.0,yes,education,AA,unknown,divorced,2.0,00603
33.0,208.0,unknown,no credit,yes,2.0,3 - 5 years,1.0,F,rent,skilled,19.0,stores,15.0,yes,car,BA,500 - 1000 USD,divorced,9.0,00611
78.0,6693.0,< 0 USD,good,no,1.0,< 1 year,1.0,M,other,unskilled,57.0,none,6.0,no,car,SA,unknown,single,1.0,00603
23.0,3621.0,< 0 USD,critical,yes,3.0,> 7 years,1.0,M,rent,unskilled,20.0,bank,6.0,yes,business,AA,< 100 USD,single,15.0,00610
49.0,633.0,>= 200 USD,excellent,yes,3.0,unknown,2.0,M,rent,none,48.0,none,21.0,no,car,CA,unknown,married,23.0,00603
47.0,9879.0,unknown,bad,yes,1.0,unknown,1.0,M,rent,management,30.0,stores,21.0,yes,car,SA,< 100 USD,married,24.0,00601
40.0,5696.0,unknown,bad,yes,1.0,< 1 year,1.0,M,own,management,59.0,none,2.0,no,business,AA,unknown,single,6.0,00705
21.0,8913.0,>= 200 USD,critical,no,1.0,unknown,1.0,M,rent,skilled,54.0,stores,3.0,no,car,CA,>1000 USD,married,4.0,00610
64.0,1616.0,unknown,bad,no,2.0,> 7 years,3.0,M,rent,skilled,5.0,none,25.0,yes,furniture,CA,500 - 1000 USD,married,7.0,00602
36.0,7062.0,>= 200 USD,critical,no,2.0,> 7 years,3.0,F,rent,management,20.0,stores,21.0,yes,education,SA,< 100 USD,divorced,2.0,00612
61.0,573.0,unknown,bad,yes,2.0,unknown,3.0,M,rent,unskilled,23.0,none,25.0,yes,education,BA,100 - 500 USD,divorced,10.0,00631
79.0,975.0,unknown,good,no,1.0,> 7 years,1.0,F,other,none,11.0,bank,15.0,yes,furniture,SA,unknown,married,18.0,00605
67.0,7156.0,< 0 USD,bad,yes,3.0,unknown,0.0,M,other,management,13.0,none,9.0,no,education,SA,>1000 USD,divorced,24.0,00610
56.0,2537.0,< 0 USD,excellent,yes,1.0,3 - 5 years,2.0,M,rent,management,37.0,none,23.0,yes,education,CA,unknown,married,22.0,00604
82.0,7171.0,< 0 USD,bad,yes,1.0,> 7 years,1.0,M,own,management,60.0,bank,6.0,no,business,SA,< 100 USD,single,15.0,00611
76.0,57.0,< 0 USD,critical,yes,1.0,unknown,3.0,M,own,unskilled,10.0,none,9.0,no,car,SA,500 - 1000 USD,married,12.0,00611
84.0,6162.0,1 - 200 USD,critical,yes,3.0,1 - 3 years,0.0,M,rent,skilled,16.0,bank,2.0,yes,business,CA,100 - 500 USD,single,5.0,00610
46.0,2688.0,< 0 USD,critical,no,3.0,< 1 year,0.0,F,other,none,32.0,stores,3.0,no,education,SA,>1000 USD,single,3.0,00604
25.0,3987.0,>= 200 USD,no credit,yes,2.0,unknown,1.0,M,rent,unskilled,48.0,stores,17.0,yes,car,CA,>1000 USD,divorced,6.0,00604
19.0,605.0,unknown,critical,no,2.0,1 - 3 years,0.0,F,own,skilled,11.0,stores,8.0,yes,furniture,BA,500 - 1000 USD,divorced,8.0,00601
70.0,7627.0,unknown,good,no,1.0,> 7 years,1.0,F,rent,none,73.0,bank,25.0,yes,other,AA,500 - 1000 USD,divorced,15.0,00610
72.0,6943.0,>= 200 USD,no credit,no,2.0,unknown,0.0,F,rent,unskilled,17.0,stores,2.0,no,car,SA,< 100 USD,married,1.0,00604
24.0,234.0,1 - 200 USD,critical,no,2.0,unknown,2.0,M,own,none,23.0,bank,7.0,yes,other,CA,100 - 500 USD,single,3.0,00604
80.0,8603.0,< 0 USD,good,yes,3.0,unknown,1.0,F,other,none,68.0,none,5.0,no,furniture,SA,500 - 1000 USD,single,4.0,00705
35.0,9709.0,>= 200 USD,bad,no,1.0,unknown,1.0,F,own,none,58.0,none,4.0,no,furniture,AA,500 - 1000 USD,divorced,21.0,00603
83.0,5244.0,1 - 200 USD,good,no,3.0,< 1 year,2.0,F,rent,management,6.0,bank,20.0,no,business,SA,>1000 USD,divorced,4.0,00604
59.0,2229.0,1 - 200 USD,excellent,yes,3.0,unknown,1.0,M,rent,none,13.0,stores,21.0,yes,furniture,CA,unknown,divorced,17.0,00705
78.0,9231.0,>= 200 USD,bad,no,1.0,> 7 years,2.0,M,own,management,16.0,none,9.0,yes,car,SA,< 100 USD,single,18.0,00604
56.0,1234.0,>= 200 USD,critical,yes,1.0,unknown,3.0,F,other,skilled,71.0,bank,22.0,no,other,AA,>1000 USD,married,17.0,00601
43.0,5270.0,1 - 200 USD,excellent,no,2.0,1 - 3 years,0.0,F,rent,unskilled,34.0,stores,17.0,no,furniture,BA,100 - 500 USD,divorced,9.0,00603
69.0,5719.0,< 0 USD,critical,no,3.0,> 7 years,2.0,F,other,management,7.0,bank,23.0,yes,furniture,AA,< 100 USD,divorced,24.0,00601
18.0,4487.0,1 - 200 USD,no credit,no,2.0,3 - 5 years,3.0,M,own,unskilled,14.0,none,22.0,no,other,AA,< 100 USD,single,15.0,00605
45.0,5787.0,1 - 200 USD,no credit,no,3.0,unknown,1.0,M,other,unskilled,69.0,none,9.0,yes,education,AA,500 - 1000 USD,divorced,1.0,00605
62.0,1848.0,unknown,no credit,no,3.0,3 - 5 years,3.0,F,rent,unskilled,2.0,stores,20.0,yes,business,BA,500 - 1000 USD,married,3.0,00631
68.0,8221.0,< 0 USD,critical,no,1.0,unknown,0.0,F,rent,skilled,7.0,none,25.0,no,other,BA,500 - 1000 USD,single,8.0,00611
25.0,3539.0,< 0 USD,no credit,yes,2.0,> 7 years,0.0,M,rent,management,28.0,stores,15.0,yes,business,SA,< 100 USD,divorced,13.0,00602
43.0,4704.0,unknown,bad,no,1.0,< 1 year,0.0,F,own,management,52.0,bank,15.0,yes,furniture,BA,>1000 USD,divorced,19.0,00705
49.0,7560.0,>= 200 USD,critical,no,3.0,1 - 3 years,3.0,M,rent,unskilled,21.0,none,4.0,yes,business,CA,100 - 500 USD,divorced,12.0,00612
72.0,4919.0,unknown,excellent,yes,1.0,unknown,2.0,F,own,skilled,73.0,bank,9.0,no,education,SA,100 - 500 USD,divorced,9.0,00610
56.0,6482.0,unknown,critical,no,2.0,< 1 year,1.0,M,own,management,5.0,none,4.0,yes,car,BA,unknown,divorced,22.0,00631
18.0,4487.0,< 0 USD,good,yes,1.0,unknown,1.0,M,own,management,23.0,none,2.0,yes,business,CA,500 - 1000 USD,married,12.0,00612
19.0,3583.0,1 - 200 USD,excellent,yes,2.0,< 1 year,1.0,M,other,unskilled,9.0,stores,5.0,yes,education,SA,>1000 USD,married,6.0,00611
71.0,6541.0,< 0 USD,excellent,no,3.0,> 7 years,0.0,M,own,skilled,58.0,stores,13.0,no,business,AA,>1000 USD,single,24.0,00631
55.0,1080.0,< 0 USD,no credit,yes,3.0,unknown,3.0,F,own,management,7.0,bank,16.0,yes,education,BA,unknown,divorced,13.0,00602
74.0,8417.0,< 0 USD,no credit,yes,3.0,3 - 5 years,0.0,F,rent,unskilled,20.0,bank,7.0,yes,business,AA,< 100 USD,single,2.0,00605
21.0,574.0,>= 200 USD,critical,no,3.0,unknown,1.0,F,other,management,41.0,bank,25.0,yes,car,SA,500 - 1000 USD,divorced,6.0,00605
28.0,2733.0,unknown,good,no,3.0,> 7 years,3.0,M,own,skilled,4.0,stores,3.0,no,education,SA,500 - 1000 USD,single,1.0,00601
70.0,6657.0,1 - 200 USD,no credit,no,1.0,< 1 year,2.0,F,other,unskilled,29.0,bank,22.0,yes,education,BA,500 - 1000 USD,single,1.0,00610
69.0,2092.0,unknown,good,yes,1.0,< 1 year,3.0,F,other,none,68.0,stores,15.0,no,furniture,AA,< 100 USD,single,9.0,00604
38.0,398.0,>= 200 USD,good,no,2.0,unknown,1.0,M,rent,skilled,59.0,bank,12.0,no,car,BA,unknown,single,1.0,00612
70.0,2103.0,1 - 200 USD,bad,yes,1.0,1 - 3 years,1.0,F,other,skilled,12.0,bank,14.0,no,furniture,SA,100 - 500 USD,single,1.0,00603
33.0,7982.0,1 - 200 USD,excellent,no,2.0,unknown,3.0,M,other,management,28.0,none,23.0,no,business,BA,500 - 1000 USD,married,13.0,00603
61.0,3031.0,>= 200 USD,bad,no,2.0,unknown,2.0,F,other,none,12.0,bank,18.0,yes,other,CA,>1000 USD,married,3.0,00611
82.0,9534.0,1 - 200 USD,critical,yes,1.0,3 - 5 years,3.0,F,other,skilled,21.0,stores,25.0,yes,business,BA,500 - 1000 USD,married,3.0,00601
80.0,9539.0,>= 200 USD,no credit,yes,1.0,> 7 years,3.0,M,rent,skilled,71.0,none,19.0,yes,car,AA,< 100 USD,divorced,13.0,00611
30.0,898.0,< 0 USD,excellent,no,2.0,> 7 years,2.0,F,own,unskilled,7.0,stores,1.0,yes,education,AA,< 100 USD,married,23.0,00612
19.0,1486.0,>= 200 USD,bad,yes,1.0,> 7 years,0.0,F,other,management,44.0,stores,22.0,no,car,SA,>1000 USD,divorced,17.0,00605
63.0,2705.0,1 - 200 USD,excellent,no,3.0,1 - 3 years,3.0,M,other,skilled,30.0,stores,17.0,yes,other,AA,500 - 1000 USD,married,5.0,00601
31.0,9637.0,>= 200 USD,no credit,no,2.0,1 - 3 years,3.0,F,own,none,15.0,none,8.0,yes,car,SA,500 - 1000 USD,single,19.0,00605
31.0,6546.0,1 - 200 USD,critical,no,2.0,1 - 3 years,1.0,M,other,unskilled,28.0,bank,3.0,yes,other,BA,unknown,married,5.0,00612
28.0,7876.0,1 - 200 USD,good,yes,2.0,unknown,2.0,M,rent,management,29.0,none,12.0,no,furniture,CA,unknown,divorced,13.0,00705
31.0,3097.0,>= 200 USD,bad,no,1.0,3 - 5 years,2.0,F,own,management,10.0,none,12.0,no,furniture,CA,500 - 1000 USD,single,24.0,00605
23.0,1791.0,>= 200 USD,no credit,yes,2.0,> 7 years,2.0,M,other,unskilled,52.0,stores,2.0,no,furniture,CA,500 - 1000 USD,divorced,9.0,00610
37.0,2915.0,1 - 200 USD,no credit,no,1.0,< 1 year,2.0,M,own,management,58.0,bank,5.0,no,furniture,SA,unknown,married,9.0,00603
41.0,9402.0,>= 200 USD,no credit,yes,3.0,3 - 5 years,1.0,M,own,skilled,11.0,bank,23.0,no,education,AA,< 100 USD,divorced,21.0,00602
73.0,3172.0,< 0 USD,bad,yes,1.0,> 7 years,3.0,M,other,unskilled,73.0,stores,12.0,yes,other,CA,100 - 500 USD,single,19.0,00611
82.0,5372.0,unknown,no credit,no,3.0,< 1 year,0.0,F,own,management,21.0,stores,14.0,yes,car,CA,< 100 USD,married,14.0,00611
50.0,2578.0,1 - 200 USD,bad,no,3.0,unknown,3.0,F,rent,skilled,66.0,bank,21.0,no,business,SA,500 - 1000 USD,single,3.0,00601
